index_bat,index_bowl,season,player,team,innings_bat,runs_bat,balls_bat,sr_bat,dismissals_bat,avg_bat,innings_bowl,ballys_bowl,overs_bowl,runs_bowl,wickets_bowl,economy_bowl,avg_bowl,sr_bowl
151529,,2007/08,H Das,DeC,1,2,5,40,1,2,,,,,,,,
145649,,2007/08,HH Gibbs,DeC,9,167,153,109.15,9,18.56,,,,,,,,
142416,142471,2007/08,Harbhajan Singh,MI,3,30,17,176.47,2,15,3,60,10,82,5,8.2,16.4,12
144329,141738,2007/08,I Sharma,KKR,5,11,11,100,1,11,13,253,42.1,329,7,7.8,47,36.14
142067,141870,2007/08,IK Pathan,KXIP,10,131,118,111.02,6,21.83,14,318,53,350,15,6.6,23.33,21.2
149954,150014,2007/08,Iqbal Abdulla,KKR,1,1,2,50,0,1,1,18,3,22,,7.33,,
148320,,2007/08,J Arunkumar,RCB,3,23,23,100,3,7.67,,,,,,,,
146211,145057,2007/08,JA Morkel,CSK,10,241,162,148.77,7,34.43,13,288,48,399,17,8.31,23.47,16.94
141909,141956,2007/08,JDP Oram,CSK,2,18,12,150,1,18,4,96,16,149,3,9.31,49.67,32
141746,141657,2007/08,JH Kallis,RCB,11,199,183,108.74,11,18.09,11,206,34.2,311,4,9.06,77.75,51.5
141960,141864,2007/08,JR Hopes,KXIP,11,221,148,149.32,11,20.09,11,168,28,276,7,9.86,39.43,24
147175,142006,2007/08,Joginder Sharma,CSK,2,16,11,145.45,2,8,7,148,24.4,239,8,9.69,29.88,18.5
