index,season,player,team,innings,runs,balls,strike_rate,dismissals,average
10196,2017,LMP Simmons,Mumbai Indians,7,137,112,122.32,7.0,19.57
10352,2017,MN Samuels,Delhi Daredevils,4,29,31,93.55,4.0,7.25
11218,2017,Swapnil Singh,Kings XI Punjab,2,12,19,63.16,2.0,6.0
11221,2017,R Tewatia,Kings XI Punjab,2,19,11,172.73,1.0,19.0
12217,2017,MM Patel,Gujarat Lions,1,0,1,0.0,1.0,0.0
12328,2017,SS Tiwary,Mumbai Indians,1,52,43,120.93,1.0,52.0
12569,2017,TA Boult,Kolkata Knight Riders,1,5,8,62.5,0.0,5.0
13361,2017,CJ Jordan,Sunrisers Hyderabad,1,0,1,0.0,1.0,0.0
13381,2017,IR Jaggi,Kolkata Knight Riders,2,33,39,84.62,1.0,33.0
13498,2017,PP Chawla,Kolkata Knight Riders,1,2,6,33.33,1.0,2.0
13514,2017,AS Rajpoot,Kolkata Knight Riders,1,4,7,57.14,1.0,4.0
13862,2018,RG Sharma,Mumbai Indians,14,286,215,133.02,12.0,23.83
13867,2018,E Lewis,Mumbai Indians,13,382,276,138.41,13.0,29.38
13875,2018,Ishan Kishan,Mumbai Indians,12,275,184,149.46,12.0,22.92
13887,2018,SA Yadav,Mumbai Indians,14,512,384,133.33,14.0,36.57
13938,2018,HH Pandya,Mumbai Indians,13,260,196,132.65,9.0,28.89
13951,2018,KH Pandya,Mumbai Indians,13,228,157,145.22,10.0,22.8
13984,2018,SR Watson,Chennai Super Kings,15,555,358,155.03,14.0,39.64
13986,2018,AT Rayudu,Chennai Super Kings,16,602,401,150.12,14.0,43.0
14008,2018,SK Raina,Chennai Super Kings,15,445,335,132.84,12.0,37.08
14023,2018,MS Dhoni,Chennai Super Kings,15,455,301,151.16,6.0,75.83
14024,2018,KM Jadhav,Chennai Super Kings,1,24,21,114.29,0.0,24.0
14036,2018,RA Jadeja,Chennai Super Kings,8,89,74,120.27,5.0,17.8
14058,2018,DJ Bravo,Chennai Super Kings,10,141,90,156.67,4.0,35.25
14063,2018,DL Chahar,Chennai Super Kings,4,50,29,172.41,3.0,16.67
14065,2018,Harbhajan Singh,Chennai Super Kings,3,29,35,82.86,3.0,9.67
14080,2018,MA Wood,Chennai Super Kings,1,1,3,33.33,1.0,1.0
14088,2018,Imran Tahir,Chennai Super Kings,1,2,2,100.0,0.0,2.0
14108,2018,C Munro,Delhi Daredevils,4,63,41,153.66,5.0,12.6
