index_bat,index_bowl,season,player,team,innings_bat,runs_bat,balls_bat,sr_bat,dismissals_bat,avg_bat,innings_bowl,ballys_bowl,overs_bowl,runs_bowl,wickets_bowl,economy_bowl,avg_bowl,sr_bowl
264691,,2016,Dinesh Karthik,GL,15,335,266,125.94,13,25.77,,,,,,,,
266034,266094,2016,Krunal Pandya,MI,8,237,124,191.13,6,39.5,11,187,31.1,236,6,7.57,39.33,31.17
267017,266193,2016,Kyle Abbott,KXIP,3,13,8,162.5,1,13,5,96,16,177,2,11.06,88.5,48
264350,,2016,Karun Nair,DD,12,357,297,120.2,10,35.7,,,,,,,,
267133,,2016,KL Rahul,RCB,12,397,272,145.96,9,44.11,,,,,,,,
264869,,2016,Kedar Jadhav,RCB,3,42,31,135.48,0,42,,,,,,,,
264297,,2016,Kevin Pietersen,RPS,4,73,61,119.67,3,24.33,,,,,,,,
270248,276770,2016,Kane Williamson,SRH,6,124,123,100.81,6,20.67,1,6,1,7,,7,,
264986,264804,2016,Karn Sharma,SRH,3,36,30,120,0,36,5,98,16.2,171,,10.47,,
267257,267264,2016,Kane Richardson,RCB,1,1,1,100,0,1,4,84,14,136,8,9.71,17,10.5
,265182,2016,Kuldeep Yadav,KKR,,,,,,,3,72,12,100,6,8.33,16.67,12
264109,,2016,Lendl Simmons,MI,1,8,8,100,1,8,,,,,,,,
267837,264174,2016,Murugan Ashwin,RPS,1,0,1,0,1,0,10,171,28.3,241,7,8.46,34.43,24.43
275923,265696,2016,Morne Morkel,KKR,1,1,1,100,0,1,10,213,35.3,297,10,8.37,29.7,21.3
264527,274827,2016,Murali Vijay,KXIP,14,453,364,124.45,13,34.85,1,6,1,8,,8,,
264528,,2016,Manan Vohra,KXIP,7,161,131,122.9,7,23,,,,,,,,
264327,,2016,Mayank Agarwal,DD,3,27,25,108,3,9,,,,,,,,
264905,264798,2016,Moises Henriques,SRH,15,182,157,115.92,12,15.17,17,312,52,415,12,7.98,34.58,26
265570,264657,2016,Mitchell Johnson,KXIP,2,5,14,35.71,2,2.5,3,66,11,106,2,9.64,53,33
266667,,2016,Martin Guptill,MI,3,57,55,103.64,3,19,,,,,,,,
264229,264235,2016,Mitchell McClenaghan,MI,4,34,23,147.83,3,11.33,14,320,53.2,436,17,8.18,25.65,18.82
264499,,2016,Manish Pandey,KKR,11,248,183,135.52,8,31,,,,,,,,
265582,264669,2016,Mohit Sharma,KXIP,5,32,26,123.08,4,8,14,291,48.3,407,13,8.39,31.31,22.38
264603,264683,2016,Marcus Stoinis,KXIP,5,146,108,135.19,4,36.5,7,138,23,194,8,8.43,24.25,17.25
265355,264135,2016,Mitchell Marsh,RPS,1,7,11,63.64,1,7,3,54,9,45,4,5,11.25,13.5
265350,,2016,MS Dhoni,RPS,12,284,210,135.24,7,40.57,,,,,,,,
270105,266442,2016,Mohammad Shami,DD,2,2,4,50,0,2,8,151,25.1,244,5,9.7,48.8,30.2
,264773,2016,Mustafizur Rahman,SRH,,,,,,,16,366,61,421,17,6.9,24.76,21.53
273790,275126,2016,Nitish Rana,MI,3,104,74,140.54,3,34.67,1,6,1,3,,3,,
266238,266372,2016,Thisara Perera,RPS,10,150,93,161.29,7,21.43,11,199,33.1,326,9,9.83,36.22,22.11
264407,264437,2016,Nathan Coulter-Nile,DD,2,9,14,64.29,0,9,4,90,15,114,3,7.6,38,30
268153,,2016,Nikhil Shankar Naik,KXIP,2,23,32,71.88,2,11.5,,,,,,,,
264939,,2016,Naman Ojha,SRH,13,136,138,98.55,10,13.6,,,,,,,,
266177,264527,2016,Praveen Kumar,GL,6,24,27,88.89,4,6,16,309,51.3,401,9,7.79,44.56,34.33
264362,265495,2016,Pawan Negi,DD,6,57,59,96.61,2,28.5,5,54,9,84,1,9.33,84,54
265596,264708,2016,Pardeep Sahu,KXIP,2,19,13,146.15,1,19,5,105,17.3,146,3,8.34,48.67,35
265141,,2016,Parthiv Patel,MI,10,177,151,117.22,10,17.7,,,,,,,,
,264533,2016,Pradeep Sangwan,GL,,,,,,,2,24,4,49,,12.25,,
268805,264389,2016,Piyush Chawla,KKR,3,27,26,103.85,3,9,11,212,35.2,273,11,7.73,24.82,19.27
270777,,2016,Peter Handscomb,RPS,1,6,12,50,1,6,,,,,,,,
274519,265274,2016,Pravin Tambe,GL,1,7,18,38.89,0,7,7,96,16,143,5,8.94,28.6,19.2
270458,264904,2016,Parvez Rasool,RCB,1,10,9,111.11,1,10,4,84,14,129,1,9.21,129,84
264331,,2016,Quinton De Kock,DD,13,445,328,135.67,12,37.08,,,,,,,,
266307,264204,2016,Ravichandaran Ashwin,RPS,6,41,38,107.89,2,20.5,14,264,44,319,10,7.25,31.9,26.4
265368,264156,2016,Rajat Bhatia,RPS,5,34,20,170,1,34,10,204,34,244,6,7.18,40.67,34
268212,268250,2016,Rishi Dhawan,KXIP,2,14,6,233.33,0,14,2,42,7,56,2,8,28,21
268792,268626,2016,Rajagopal Sathish,KKR,3,24,24,100,3,8,3,36,6,59,1,9.83,59,36
264205,264272,2016,R Vinay Kumar,MI,2,13,12,108.33,1,13,3,54,9,64,3,7.11,21.33,18
264725,264563,2016,Ravindra Jadeja,GL,15,191,178,107.3,9,21.22,14,241,40.1,311,8,7.74,38.88,30.12
264110,,2016,Rohit Sharma,MI,14,489,368,132.88,11,44.45,,,,,,,,
,264109,2016,Rudra Pratap Singh,RPS,,,,,,,4,73,12.1,111,3,9.12,37,24.33
269412,,2016,Rishabh Pant,DD,10,198,152,130.26,8,24.75,,,,,,,,
264437,,2016,Robin Uthappa,KKR,15,394,289,136.33,15,26.27,,,,,,,,
,266545,2016,S Aravind,RCB,,,,,,,9,175,29.1,216,11,7.41,19.64,15.91
264887,,2016,Shikhar Dhawan,SRH,17,501,427,117.33,13,38.54,,,,,,,,
264157,264280,2016,Shreyas Gopal,MI,1,2,16,12.5,1,2,1,18,3,18,,6,,
274558,269777,2016,Shivil Kaushik,GL,1,0,1,0,1,0,7,138,23,192,6,8.35,32,23
,264557,2016,Sarabjit Ladda,GL,,,,,,,1,12,2,21,,10.5,,
275159,269265,2016,Shahbaz Nadeem,DD,1,1,5,20,0,1,4,90,15,127,2,8.47,63.5,45
265136,,2016,Suryakumar Yadav,KKR,11,182,142,128.17,7,26,,,,,,,,
277351,265262,2016,Shadab Jakati,GL,1,1,2,50,0,1,6,120,20,178,2,8.9,89,60
265498,,2016,Shaun Marsh,KXIP,6,159,134,118.66,5,31.8,,,,,,,,
264665,267525,2016,Suresh Raina,GL,15,399,313,127.48,14,28.5,4,60,10,82,,8.2,,
,270869,2016,Scott Boland,RPS,,,,,,,2,42,7,54,2,7.71,27,21
264870,,2016,Sarfaraz Naushad Khan,RCB,4,66,31,212.9,2,33,,,,,,,,
270220,265748,2016,Sunil Narine,KKR,3,7,13,53.85,1,7,11,256,42.4,304,11,7.12,27.64,23.27
265342,,2016,Steve Smith,RPS,7,270,175,154.29,6,45,,,,,,,,
264858,264892,2016,Shane Watson,RCB,15,179,134,133.58,13,13.77,16,339,56.3,485,20,8.58,24.25,16.95
264343,,2016,Shreyas Iyer,DD,6,30,43,69.77,6,5,,,,,,,,
269739,,2016,Saurabh Tiwary,RPS,7,170,141,120.57,7,24.29,,,,,,,,
267253,267326,2016,Stuart Binny,RCB,5,63,39,161.54,4,15.75,11,102,17,134,1,7.88,134,102
264358,,2016,Sanju Samson,DD,14,291,258,112.79,11,26.45,,,,,,,,
270022,,2016,Sam Billings,DD,4,88,63,139.68,4,22,,,,,,,,
270419,274555,2016,Sachin Baby,RCB,6,119,78,152.56,4,29.75,2,10,1.4,8,2,4.8,4,5
265605,264651,2016,Sandeep Sharma,KXIP,4,8,9,88.89,0,8,14,300,50,366,15,7.32,24.4,20
267096,265724,2016,Shakib Al Hasan,KKR,7,114,107,106.54,5,22.8,9,186,31,243,5,7.84,48.6,37.2
271679,271470,2016,Swapnil Singh,KXIP,1,0,1,0,1,0,1,18,3,29,,9.67,,
,267752,2016,Tabraiz Shamsi,RCB,,,,,,,4,96,16,147,3,9.19,49,32
,277720,2016,Trent Boult,SRH,,,,,,,1,24,4,39,1,9.75,39,24
266043,265010,2016,Tim Southee,MI,4,30,19,157.89,3,10,11,258,43,329,9,7.65,36.56,28.67
267206,,2016,Travis Head,RCB,3,54,40,135,2,27,,,,,,,,
274094,,2016,Unmukt Chand,MI,1,0,4,0,1,0,,,,,,,,
271812,,2016,Usman Khawaja,RPS,6,127,99,128.28,6,21.17,,,,,,,,
268810,264334,2016,Umesh Yadav,KKR,2,9,5,180,1,9,9,156,26,234,10,9,23.4,15.6
264762,274520,2016,Virat Kohli,RCB,16,973,638,152.51,12,81.08,1,6,1,13,,13,,
,267258,2016,Varun Aaron,RCB,,,,,,,8,142,23.4,227,2,9.59,113.5,71
264599,,2016,Wriddhiman Saha,KXIP,12,270,212,127.36,11,24.55,,,,,,,,
265120,266976,2016,Yusuf Pathan,KKR,13,361,249,144.98,5,72.2,4,36,6,33,1,5.5,33,36
,264929,2016,Yuzvendra Singh Chahal,RCB,,,,,,,13,295,49.1,401,21,8.16,19.1,14.05
272112,271979,2016,Yuvraj Singh,SRH,10,236,179,131.84,9,26.22,5,37,6.1,52,,8.43,,
264425,264443,2016,Zaheer Khan,DD,2,6,13,46.15,2,3,12,262,43.4,337,10,7.72,33.7,26.2
